location,continent,population,life_expectancy,hospital_beds_per_thousand,gdp_per_capita,gdp_per_country
Monaco,Europe,39244,86.75,13.8,,
San Marino,Europe,33938,84.97,3.8,56861.47,1929764568.8600001
Hong Kong,Asia,7496988,84.86,0.0,56054.92,420243062580.95996
Japan,Asia,126476458,84.63,13.05,39002.223,4932863019166.134
Cayman Islands,North America,65720,83.92,0.0,49903.029,3279627065.88
Switzerland,Europe,8654618,83.78,4.53,57410.166,496863056046.58795
Andorra,Europe,77265,83.73,0.0,,
Singapore,Asia,5850343,83.62,2.4,85535.383,500411329186.369
Spain,Europe,46754783,83.56,2.97,34272.36,1602396754697.8801
Italy,Europe,60461828,83.51,3.18,35220.084,2129470660953.5522
